income,loan_amount,debt_ratio,credit_score,years_employed,default
62000.0,7700.0,0.233,621.0,5.9,1
68800.0,27000.0,0.191,686.0,10.4,0
56300.0,26300.0,0.052,677.0,7.4,0
45400.0,7000.0,0.169,671.0,7.3,1
52900.0,16500.0,0.218,699.0,4.9,0
43800.0,5900.0,0.24,653.0,7.3,0
63300.0,6900.0,0.095,680.0,2.1,0
99100.0,28500.0,0.214,720.0,10.1,0
52200.0,12700.0,0.23,766.0,4.7,0
49900.0,26800.0,0.347,704.0,4.8,0
73600.0,7900.0,0.043,727.0,3.5,0
70200.0,29700.0,0.229,714.0,16.1,0
64300.0,30000.0,0.199,775.0,3.0,0
44800.0,13800.0,0.241,799.0,9.5,0
61400.0,21500.0,0.193,,1.3,0
79100.0,17700.0,0.097,720.0,5.9,0
38700.0,8800.0,0.341,698.0,7.1,0
52800.0,6700.0,0.433,770.0,6.8,1
31900.0,17600.0,0.138,544.0,4.1,0
39500.0,4500.0,0.168,645.0,4.9,0
32500.0,5500.0,0.124,,9.8,0
57100.0,26400.0,0.284,759.0,4.4,0
39800.0,13100.0,0.077,697.0,4.5,0
68200.0,24300.0,0.456,719.0,9.4,1
65500.0,16200.0,0.208,704.0,1.6,0
58100.0,10500.0,0.226,697.0,2.1,0
25700.0,12800.0,0.333,704.0,7.0,1
51300.0,8300.0,0.165,658.0,2.7,0
61000.0,15100.0,0.082,566.0,7.1,0
64500.0,30700.0,0.304,,10.3,1
36300.0,9000.0,0.258,678.0,11.8,0
52500.0,30200.0,0.278,649.0,6.6,0
44000.0,8300.0,0.109,647.0,3.9,0
46700.0,17000.0,0.17,755.0,3.2,1
89900.0,33200.0,0.326,639.0,3.6,1
46700.0,16400.0,0.339,622.0,7.9,0
61300.0,29900.0,0.2,718.0,15.0,0
84500.0,10400.0,0.138,680.0,2.3,0
50500.0,18800.0,0.192,608.0,7.4,1
59600.0,29500.0,0.249,625.0,8.9,1
64400.0,8100.0,0.199,622.0,1.6,0
63400.0,23700.0,0.172,702.0,9.2,0
40400.0,12900.0,0.137,712.0,5.2,0
63700.0,19300.0,0.26,760.0,4.9,0
99800.0,36800.0,0.21,678.0,5.0,0
36100.0,14900.0,0.075,,0.4,0
83800.0,37900.0,0.24,647.0,5.7,1
64600.0,35500.0,0.16,744.0,2.4,0
49500.0,21200.0,0.287,647.0,3.5,1
124900.0,74900.0,0.381,634.0,9.7,1
81000.0,35000.0,0.196,668.0,22.4,0
40700.0,9500.0,0.165,679.0,3.0,0
63600.0,11000.0,0.196,703.0,3.0,0
75900.0,10300.0,0.335,645.0,3.5,0
58000.0,13600.0,0.088,779.0,0.3,0
78700.0,12600.0,0.218,788.0,8.7,0
60600.0,26800.0,0.365,,7.5,1
78300.0,34800.0,0.316,689.0,2.8,0
102600.0,41700.0,0.439,624.0,3.1,1
48900.0,14200.0,0.255,665.0,18.1,1
66600.0,22100.0,0.284,680.0,5.3,1
52700.0,12100.0,0.056,665.0,4.1,0
64800.0,36200.0,0.285,696.0,6.5,1
40900.0,4400.0,0.285,690.0,8.7,0
50600.0,13200.0,0.187,605.0,1.1,1
57900.0,22400.0,0.077,568.0,6.5,0
84900.0,16200.0,0.247,577.0,2.6,1
92600.0,48800.0,0.203,749.0,4.1,0
39000.0,13300.0,0.126,670.0,7.6,0
46900.0,13400.0,0.179,685.0,1.7,0
77800.0,10200.0,0.183,762.0,6.6,0
30900.0,7400.0,0.246,624.0,8.9,0
52700.0,20800.0,0.121,704.0,0.3,0
59900.0,14400.0,0.259,643.0,3.3,1
96300.0,11800.0,0.307,691.0,2.6,1
78900.0,30800.0,0.286,575.0,8.0,1
55300.0,13900.0,0.098,658.0,6.1,1
54500.0,28500.0,0.253,676.0,14.1,1
56800.0,25300.0,0.314,687.0,7.8,1
105700.0,48700.0,0.253,600.0,6.4,0
53400.0,29100.0,0.153,667.0,10.4,1
55700.0,28100.0,0.109,730.0,5.6,0
70100.0,18600.0,0.094,675.0,1.8,0
59400.0,22800.0,0.179,728.0,3.2,1
57900.0,13300.0,0.093,718.0,5.1,0
42000.0,8400.0,0.137,694.0,2.8,0
61800.0,12500.0,0.176,660.0,4.1,0
53100.0,8300.0,0.212,685.0,6.4,0
93200.0,20500.0,0.072,628.0,1.5,0
77900.0,16500.0,0.3,718.0,5.0,0
61500.0,26800.0,0.128,699.0,7.7,0
78300.0,17700.0,0.133,747.0,12.2,0
55000.0,6800.0,0.287,807.0,4.3,0
89600.0,27800.0,0.165,728.0,8.3,0
61900.0,12400.0,0.04,712.0,0.7,0
76000.0,33800.0,0.053,691.0,7.0,0
39500.0,8300.0,0.238,728.0,5.9,0
70000.0,26500.0,0.246,758.0,6.9,0
34300.0,6400.0,0.338,665.0,5.0,1
30400.0,10400.0,0.217,609.0,4.6,0
55700.0,29700.0,0.312,,13.1,1
45200.0,11400.0,0.334,736.0,1.6,0
65700.0,23900.0,0.208,707.0,6.1,0
136000.0,43400.0,0.228,711.0,4.4,0
46300.0,6300.0,0.175,586.0,4.7,1
49800.0,5500.0,0.164,649.0,7.6,1
66600.0,34700.0,0.233,593.0,9.4,1
73700.0,19900.0,0.179,680.0,4.8,0
58300.0,25800.0,0.151,648.0,4.1,0
57700.0,17700.0,0.193,642.0,7.5,0
79300.0,41200.0,0.188,769.0,1.1,0
74400.0,14700.0,0.236,609.0,5.0,0
43200.0,14800.0,0.265,645.0,7.4,0
60300.0,22600.0,0.118,638.0,7.4,0
62800.0,31200.0,0.204,684.0,12.6,1
42900.0,4900.0,0.184,721.0,5.4,0
67900.0,19100.0,0.107,635.0,11.1,0
