income,loan_amount,debt_ratio,credit_score,years_employed,collections_flag,default
47000.0,11200.0,0.223,642.0,6.6,0,0
67400.0,11800.0,0.245,676.0,3.5,0,0
31900.0,15200.0,0.098,688.0,2.0,0,0
101100.0,11000.0,0.23,675.0,5.8,0,0
77500.0,28100.0,0.278,733.0,1.1,0,0
56000.0,33400.0,0.37,731.0,1.1,0,0
55600.0,25600.0,0.144,744.0,3.4,0,0
69000.0,12600.0,0.193,666.0,3.5,0,0
56500.0,29600.0,0.098,728.0,1.8,0,0
57300.0,24500.0,0.425,622.0,5.0,0,0
79800.0,39200.0,0.325,650.0,6.1,1,1
74200.0,17300.0,0.139,648.0,1.6,0,0
60600.0,34600.0,0.284,766.0,5.0,0,0
60200.0,26400.0,0.306,736.0,3.0,0,0
65600.0,14300.0,0.2,676.0,13.7,0,0
50000.0,13700.0,0.174,734.0,3.3,1,1
53800.0,10100.0,0.017,705.0,7.4,0,0
75100.0,7900.0,0.278,626.0,5.7,0,0
59200.0,8100.0,0.141,610.0,7.9,0,0
38300.0,6800.0,0.226,662.0,3.6,0,0
52500.0,28100.0,0.081,619.0,13.5,0,0
78000.0,31600.0,0.107,717.0,7.8,0,0
57200.0,18400.0,0.178,799.0,5.2,0,0
58900.0,21200.0,0.057,667.0,9.3,0,0
77600.0,44300.0,0.177,659.0,14.5,0,0
117400.0,34700.0,0.104,622.0,6.7,0,0
48300.0,14500.0,0.108,740.0,6.0,0,0
99400.0,18700.0,0.191,612.0,11.9,0,0
40300.0,7000.0,0.225,668.0,5.7,0,0
65900.0,7400.0,0.168,748.0,8.6,0,0
41200.0,15500.0,0.286,683.0,4.1,0,0
99500.0,38300.0,0.312,621.0,1.9,0,0
83000.0,30200.0,0.211,699.0,9.7,0,0
92300.0,43300.0,0.211,669.0,0.8,1,1
45500.0,7900.0,0.25,699.0,2.8,0,0
78800.0,30600.0,0.191,662.0,9.3,0,0
51700.0,29600.0,0.131,,0.7,0,0
52800.0,21300.0,0.199,725.0,4.1,1,1
74000.0,36200.0,0.079,637.0,2.8,0,0
84300.0,29800.0,0.059,699.0,4.0,0,0
66600.0,10300.0,0.326,646.0,3.4,1,1
49800.0,29500.0,0.129,706.0,6.9,0,0
46400.0,12700.0,0.262,711.0,3.5,0,0
102800.0,19200.0,0.223,679.0,5.9,0,0
76300.0,29500.0,0.18,698.0,4.7,0,0
79800.0,12800.0,0.032,680.0,4.9,0,0
133100.0,38100.0,0.256,680.0,16.3,0,0
46600.0,17400.0,0.119,642.0,14.4,0,0
151900.0,15800.0,0.224,688.0,3.0,0,0
186800.0,101500.0,0.221,761.0,5.3,0,0
109200.0,24100.0,0.11,672.0,6.9,0,0
82800.0,32000.0,0.123,602.0,1.5,0,0
49100.0,21400.0,0.129,751.0,9.0,0,0
87800.0,26600.0,0.422,602.0,2.5,0,0
53100.0,29400.0,0.041,704.0,4.8,0,0
61500.0,30100.0,0.224,579.0,4.0,0,0
56000.0,24200.0,0.263,699.0,3.3,0,0
68500.0,27000.0,0.233,828.0,0.8,1,1
97300.0,48600.0,0.245,706.0,3.8,1,1
51000.0,7400.0,0.324,738.0,3.0,0,0
43900.0,23700.0,0.291,682.0,5.0,1,1
43600.0,11500.0,0.245,696.0,10.2,0,0
44200.0,5500.0,0.077,674.0,11.0,0,0
37600.0,10600.0,0.03,747.0,13.8,0,0
45000.0,12100.0,0.165,731.0,8.6,0,0
97500.0,58500.0,0.21,694.0,11.3,1,1
50400.0,12300.0,0.218,647.0,12.7,0,0
67800.0,18400.0,0.035,602.0,10.1,1,1
40500.0,20900.0,0.335,697.0,16.7,1,1
65800.0,33200.0,0.169,707.0,1.6,0,0
33700.0,11100.0,0.163,606.0,3.3,0,0
48500.0,26000.0,0.152,689.0,1.9,0,0
136500.0,14700.0,0.185,629.0,6.6,0,0
50600.0,23400.0,0.263,595.0,5.9,0,0
91800.0,12800.0,0.277,578.0,11.3,1,1
72700.0,13500.0,0.026,676.0,2.4,0,0
58800.0,34100.0,0.168,736.0,4.5,0,0
49300.0,29300.0,0.231,762.0,8.6,0,0
97300.0,40700.0,0.092,584.0,5.8,0,0
58300.0,18900.0,0.169,731.0,2.5,0,0
105800.0,56700.0,0.197,692.0,2.3,0,0
48200.0,14800.0,0.263,659.0,6.4,1,1
63300.0,23800.0,0.04,721.0,5.6,0,0
73000.0,11300.0,0.037,653.0,10.3,0,0
70700.0,25400.0,0.209,664.0,5.9,1,1
40300.0,6700.0,0.039,688.0,1.4,0,0
49100.0,12800.0,0.256,686.0,6.6,0,0
57900.0,12900.0,0.225,652.0,1.2,0,0
46000.0,21400.0,0.066,661.0,5.8,0,0
78600.0,33400.0,0.269,681.0,11.1,0,0
76200.0,39500.0,0.29,741.0,3.0,1,1
31300.0,17100.0,0.149,585.0,3.3,0,0
33000.0,5100.0,0.122,651.0,13.1,0,0
39600.0,23600.0,0.224,724.0,2.3,1,1
64600.0,34000.0,0.214,710.0,4.5,0,0
126300.0,34900.0,0.287,642.0,9.4,1,1
54200.0,20900.0,0.105,712.0,11.9,0,0
67700.0,9300.0,0.353,624.0,3.1,0,0
42700.0,8800.0,0.046,695.0,1.2,0,0
43000.0,11100.0,0.345,754.0,2.6,0,0
31300.0,11100.0,0.367,590.0,8.9,1,1
61400.0,8900.0,0.124,702.0,10.2,0,0
86400.0,51400.0,0.092,717.0,6.1,1,1
54700.0,30200.0,0.105,618.0,2.6,0,0
101100.0,29800.0,0.241,,3.1,0,0
66400.0,34000.0,0.155,696.0,10.3,0,0
61200.0,21600.0,0.312,687.0,4.9,0,0
74300.0,16400.0,0.418,691.0,4.0,0,0
73500.0,27500.0,0.234,650.0,2.0,0,0
92700.0,15500.0,0.155,,5.7,0,0
46800.0,19600.0,0.079,700.0,7.2,0,0
27800.0,14500.0,0.39,748.0,3.3,1,1
64500.0,7800.0,0.121,724.0,12.2,0,0
50100.0,7100.0,0.272,746.0,4.6,0,0
61400.0,14000.0,0.278,716.0,2.8,1,1
111000.0,20100.0,0.092,704.0,13.1,0,0
42100.0,6100.0,0.147,709.0,9.0,0,0
81000.0,38600.0,0.24,,4.8,1,1
86300.0,19100.0,0.216,630.0,8.6,0,0
72800.0,34600.0,0.223,686.0,11.1,0,0
91700.0,22500.0,0.176,,11.1,0,0
52800.0,17000.0,0.121,761.0,4.4,0,0
48800.0,22900.0,0.292,752.0,7.8,0,0
89200.0,49600.0,0.206,675.0,0.5,0,0
79800.0,26300.0,0.12,687.0,8.8,0,0
100900.0,27600.0,0.277,745.0,9.2,1,1
66800.0,28700.0,0.185,749.0,8.9,0,0
109400.0,24500.0,0.233,670.0,12.6,0,0
56200.0,12300.0,0.12,685.0,2.9,0,0
42800.0,7500.0,0.117,,4.6,0,0
30400.0,7400.0,0.105,741.0,0.9,0,0
42200.0,16000.0,0.293,709.0,1.1,0,0
82600.0,34400.0,0.444,691.0,11.4,1,1
37100.0,21000.0,0.134,756.0,5.9,0,0
52900.0,12900.0,0.217,733.0,13.3,0,0
129600.0,61500.0,0.122,604.0,7.5,1,1
83400.0,34600.0,0.046,621.0,1.0,0,0
116000.0,66600.0,0.217,644.0,4.2,0,0
43800.0,25500.0,0.165,643.0,3.4,1,1
26200.0,8800.0,0.288,,13.5,0,0
105400.0,31900.0,0.204,716.0,4.8,0,0
37800.0,19600.0,0.114,658.0,1.1,0,0
64000.0,7100.0,0.268,682.0,8.0,0,0
66900.0,31300.0,0.169,690.0,6.2,0,0
44500.0,23200.0,0.172,772.0,9.0,0,0
106800.0,58200.0,0.283,652.0,9.7,1,1
106600.0,11700.0,0.451,632.0,7.5,1,1
75200.0,30500.0,0.099,667.0,10.6,0,0
61400.0,18600.0,0.221,601.0,2.1,0,0
66300.0,8900.0,0.136,589.0,8.1,1,1
42200.0,21000.0,0.167,643.0,0.9,1,1
57000.0,17400.0,0.169,751.0,7.3,0,0
59800.0,23200.0,0.186,764.0,8.4,0,0
46000.0,13000.0,0.279,693.0,2.5,1,1
83500.0,20800.0,0.19,682.0,6.7,0,0
37600.0,18900.0,0.244,638.0,2.6,1,1
52900.0,27200.0,0.096,673.0,3.8,0,0
28200.0,4900.0,0.249,699.0,8.9,0,0
73800.0,26100.0,0.094,737.0,12.1,0,0
80400.0,13700.0,0.184,758.0,3.5,0,0
77100.0,12300.0,0.201,,1.4,0,0
172200.0,28100.0,0.267,643.0,1.0,1,1
86100.0,42500.0,0.324,636.0,8.2,1,1
44600.0,22000.0,0.151,,8.0,0,0
157500.0,50900.0,0.202,696.0,7.0,0,0
44900.0,8500.0,0.123,678.0,6.7,0,0
81700.0,9200.0,0.197,668.0,3.3,0,0
80400.0,11200.0,0.109,706.0,9.4,0,0
45600.0,25500.0,0.165,556.0,5.3,1,1
101000.0,26600.0,0.165,662.0,4.4,0,0
70200.0,11200.0,0.207,695.0,1.6,0,0
75700.0,42700.0,0.392,636.0,0.1,1,1
48900.0,27500.0,0.249,595.0,0.4,1,1
97800.0,31000.0,0.307,684.0,2.8,1,1
45900.0,12200.0,0.15,683.0,6.8,0,0
33300.0,7200.0,0.453,651.0,1.1,1,1
102100.0,39800.0,0.284,802.0,2.2,0,0
53400.0,11600.0,0.13,586.0,2.7,0,0
62900.0,14000.0,0.303,598.0,10.2,1,1
121500.0,68600.0,0.338,626.0,1.0,0,1
92300.0,12000.0,0.156,760.0,6.5,0,0
77400.0,15100.0,0.098,598.0,1.5,0,0
90200.0,12600.0,0.161,638.0,2.1,0,0
48100.0,5700.0,0.264,632.0,7.5,0,0
80700.0,12100.0,0.086,736.0,7.4,0,0
91400.0,51200.0,0.166,,4.8,0,0
80800.0,46400.0,0.071,688.0,1.4,0,0
57700.0,34000.0,0.279,765.0,1.2,0,0
16700.0,4500.0,0.299,664.0,2.0,1,1
75400.0,44300.0,0.223,569.0,7.6,1,1
64500.0,36200.0,0.174,682.0,10.7,0,0
54500.0,14300.0,0.365,768.0,6.3,0,0
81400.0,32000.0,0.109,673.0,9.5,0,0
68000.0,28400.0,0.285,716.0,2.1,0,0
66600.0,12500.0,0.506,720.0,9.9,1,1
36900.0,17900.0,0.159,694.0,8.5,0,0
37200.0,15100.0,0.219,764.0,4.2,0,0
70600.0,18400.0,0.191,633.0,5.7,0,0
63700.0,29900.0,0.166,671.0,14.8,0,0
65100.0,21200.0,0.3,646.0,7.4,1,1
65700.0,10800.0,0.174,,3.0,0,0
71600.0,22200.0,0.264,794.0,1.9,0,0
62800.0,10000.0,0.065,695.0,3.4,0,0
65500.0,20000.0,0.117,769.0,6.1,0,0
67800.0,15300.0,0.236,675.0,14.2,0,0
85800.0,11700.0,0.157,727.0,1.9,0,0
51800.0,8900.0,0.32,640.0,5.8,0,0
81600.0,12300.0,0.051,615.0,10.3,0,0
77500.0,36700.0,0.248,621.0,2.1,1,1
64300.0,34400.0,0.075,763.0,0.8,0,0
52500.0,12000.0,0.246,617.0,0.1,0,0
70600.0,21700.0,0.22,566.0,6.0,1,1
83900.0,46100.0,0.071,620.0,1.5,0,0
42600.0,11500.0,0.171,824.0,20.0,0,0
63400.0,26100.0,0.175,730.0,2.0,0,0
63400.0,29200.0,0.292,608.0,7.2,0,0
49200.0,19600.0,0.137,759.0,10.4,0,0
49900.0,29700.0,0.084,644.0,9.5,0,0
36000.0,4700.0,0.231,631.0,16.3,1,1
42100.0,6500.0,0.327,562.0,6.8,1,1
36200.0,21500.0,0.094,707.0,3.6,0,0
50000.0,19100.0,0.326,623.0,6.2,1,1
51000.0,14600.0,0.056,831.0,18.5,0,0
51300.0,29300.0,0.155,681.0,6.9,0,0
70600.0,39200.0,0.161,636.0,12.5,0,0
58100.0,31500.0,0.128,715.0,3.1,0,0
48000.0,5500.0,0.395,658.0,6.7,0,0
48200.0,14600.0,0.041,677.0,4.9,0,0
41700.0,21500.0,0.254,669.0,10.5,0,0
57900.0,18000.0,0.248,719.0,3.6,0,0
57500.0,25600.0,0.05,706.0,8.6,0,0
109400.0,55900.0,0.137,687.0,2.9,0,0
106100.0,46500.0,0.038,577.0,16.6,0,0
104000.0,25000.0,0.205,723.0,1.8,0,0
128400.0,59000.0,0.163,710.0,16.3,0,0
40500.0,23100.0,0.218,540.0,8.7,1,1
78500.0,24600.0,0.238,,5.5,0,0
80900.0,20600.0,0.165,640.0,5.4,0,0
73200.0,30800.0,0.144,666.0,2.1,0,0
130500.0,28900.0,0.187,714.0,6.3,0,0
150700.0,40300.0,0.07,711.0,1.6,0,0
87300.0,25000.0,0.257,,10.9,0,0
77900.0,40400.0,0.302,663.0,6.0,1,1
41900.0,19800.0,0.101,681.0,3.3,0,0
41900.0,22100.0,0.28,709.0,1.2,0,0
79200.0,8100.0,0.209,762.0,13.9,0,0
60400.0,11500.0,0.158,808.0,8.8,0,0
38900.0,21700.0,0.247,715.0,4.2,0,0
59400.0,23700.0,0.15,687.0,5.8,0,0
70300.0,40300.0,0.299,620.0,2.7,1,1
86000.0,25300.0,0.155,755.0,7.1,1,0
59700.0,12000.0,0.141,665.0,4.7,0,0
56400.0,23800.0,0.084,743.0,13.9,0,0
62100.0,12600.0,0.246,749.0,5.9,0,0
65900.0,15900.0,0.12,586.0,10.8,0,0
41300.0,12600.0,0.046,657.0,3.5,0,0
83000.0,39700.0,0.265,682.0,8.7,0,0
133500.0,49600.0,0.092,,4.1,0,0
82400.0,31600.0,0.161,676.0,1.2,1,1
37300.0,12800.0,0.113,701.0,6.5,0,0
64100.0,36900.0,0.457,579.0,9.7,1,1
33400.0,20000.0,0.067,705.0,5.5,0,0
32700.0,11500.0,0.214,697.0,8.0,0,0
78100.0,28900.0,0.288,662.0,1.5,0,0
63700.0,6600.0,0.06,673.0,2.5,0,0
48700.0,23500.0,0.309,607.0,2.4,1,1
29900.0,13500.0,0.136,752.0,3.1,0,0
39800.0,5500.0,0.103,714.0,2.6,0,0
65600.0,10800.0,0.293,682.0,9.8,1,1
62700.0,8100.0,0.176,675.0,7.6,0,0
78900.0,24900.0,0.314,794.0,2.0,0,0
105700.0,40600.0,0.18,728.0,10.6,0,0
55100.0,7700.0,0.275,698.0,4.4,0,0
73100.0,42000.0,0.176,668.0,8.6,0,0
59100.0,7500.0,0.127,675.0,2.4,0,0
52100.0,9300.0,0.24,687.0,9.5,1,1
56900.0,28100.0,0.14,623.0,2.3,0,0
86800.0,37100.0,0.024,667.0,4.0,0,0
43300.0,22700.0,0.326,709.0,12.6,0,0
92400.0,51200.0,0.249,674.0,3.9,1,1
104000.0,61500.0,0.346,680.0,3.7,0,0
62800.0,25400.0,0.214,,5.3,0,0
67800.0,26300.0,0.156,621.0,0.6,0,0
37800.0,4100.0,0.082,740.0,6.5,0,0
141600.0,47700.0,0.129,639.0,2.1,1,1
87300.0,21000.0,0.034,742.0,3.5,0,0
65900.0,8600.0,0.201,677.0,1.8,0,0
63300.0,26000.0,0.124,697.0,0.5,0,0
72600.0,8900.0,0.352,635.0,0.9,1,1
49400.0,20500.0,0.193,637.0,3.2,1,1
68500.0,39800.0,0.178,755.0,1.5,0,0
44900.0,13800.0,0.194,,6.6,0,0
73800.0,31600.0,0.3,,3.9,1,1
48900.0,5100.0,0.065,669.0,6.4,0,0
84800.0,23600.0,0.2,663.0,2.5,0,0
59400.0,9200.0,0.102,680.0,2.6,0,0
68100.0,15500.0,0.314,708.0,1.8,1,1
174800.0,19600.0,0.097,661.0,13.0,0,0
82200.0,28400.0,0.363,768.0,2.5,0,0
68100.0,33300.0,0.294,729.0,1.9,0,0
63000.0,29300.0,0.218,600.0,7.1,1,1
43100.0,25500.0,0.257,631.0,6.7,1,1
90600.0,49900.0,0.238,607.0,0.3,0,0
108600.0,49200.0,0.27,647.0,3.6,0,0
63400.0,30400.0,0.299,638.0,4.8,1,1
111500.0,43600.0,0.178,753.0,3.2,0,0
59600.0,6500.0,0.39,703.0,10.6,0,0
33300.0,16100.0,0.229,776.0,3.7,1,1
49300.0,20100.0,0.191,652.0,13.8,0,0
42800.0,24300.0,0.258,594.0,3.3,0,0
56300.0,10900.0,0.135,688.0,3.1,0,0
77200.0,43700.0,0.289,767.0,13.7,1,1
44800.0,8100.0,0.324,627.0,8.7,0,0
60300.0,8000.0,0.201,618.0,2.6,0,0
66500.0,27700.0,0.188,719.0,3.3,0,0
48000.0,12600.0,0.214,667.0,1.7,0,0
45100.0,16500.0,0.152,704.0,16.2,0,0
63900.0,18400.0,0.35,606.0,2.4,1,1
84100.0,16000.0,0.199,661.0,1.2,0,0
50200.0,26500.0,0.078,,6.8,0,0
47700.0,23900.0,0.134,713.0,1.2,0,0
59000.0,14300.0,0.262,708.0,3.6,0,0
68600.0,18300.0,0.188,728.0,2.4,0,0
51300.0,24800.0,0.364,657.0,1.1,1,1
55200.0,18100.0,0.348,628.0,8.5,0,0
57200.0,25800.0,0.102,543.0,3.2,0,0
42400.0,23700.0,0.241,640.0,4.4,1,1
58300.0,30200.0,0.126,683.0,1.5,0,0
51000.0,20300.0,0.16,686.0,13.7,0,0
107900.0,53300.0,0.319,678.0,7.5,0,1
51700.0,10000.0,0.241,669.0,5.1,0,0
72800.0,38000.0,0.334,601.0,4.3,1,1
70800.0,15900.0,0.329,773.0,13.3,0,0
41900.0,13100.0,0.369,726.0,6.4,1,1
40000.0,16200.0,0.104,693.0,0.5,0,0
53000.0,13900.0,0.23,666.0,2.6,1,1
78200.0,40100.0,0.264,673.0,0.6,1,1
50700.0,20100.0,0.105,745.0,5.5,0,0
49300.0,28300.0,0.166,634.0,5.3,0,0
22500.0,5400.0,0.122,691.0,4.1,0,0
54000.0,24300.0,0.075,667.0,3.2,0,0
69200.0,12300.0,0.068,606.0,6.9,0,0
72400.0,13500.0,0.119,635.0,2.2,0,0
72000.0,25800.0,0.216,621.0,5.6,0,0
55300.0,30400.0,0.128,694.0,5.6,0,0
57300.0,19300.0,0.132,687.0,3.2,0,0
83000.0,31500.0,0.194,582.0,8.4,0,0
59100.0,34000.0,0.314,683.0,6.6,0,0
27700.0,5600.0,0.268,646.0,4.6,0,0
88600.0,46100.0,0.285,684.0,7.0,1,1
42500.0,20500.0,0.169,670.0,1.7,0,0
100300.0,43500.0,0.187,755.0,5.2,0,0
112200.0,32500.0,0.153,724.0,2.3,0,0
81000.0,43200.0,0.25,696.0,3.1,1,1
85100.0,49800.0,0.247,645.0,2.5,1,1
118800.0,34800.0,0.219,809.0,10.2,0,0
42200.0,13000.0,0.132,732.0,15.2,0,0
67800.0,31700.0,0.143,689.0,6.7,0,0
67400.0,24400.0,0.201,694.0,6.6,0,0
44200.0,9000.0,0.13,698.0,2.6,0,0
125400.0,68300.0,0.23,746.0,7.0,0,0
50600.0,22200.0,0.091,738.0,26.2,0,0
48000.0,15400.0,0.338,721.0,10.6,0,0
68100.0,20800.0,0.055,,6.7,0,0
88900.0,36900.0,0.402,685.0,2.9,1,1
50200.0,12800.0,0.203,625.0,1.5,0,0
50300.0,20600.0,0.132,677.0,2.3,0,0
74000.0,11700.0,0.205,674.0,5.6,0,0
